experiment,condition,mode,seed,step,phase_G0,phase_G1,phase_S,phase_G2,phase_M
treatment_anti_PD1_late,anti_PD1_late,rules,123,19,0.5828,0.1591,0.1429,0.086,0.0292
treatment_anti_PD1_late,anti_PD1_late,rules,123,20,0.6049,0.174,0.1301,0.0683,0.0228
treatment_anti_PD1_late,anti_PD1_late,rules,123,21,0.6395,0.1628,0.1013,0.0748,0.0216
treatment_anti_PD1_late,anti_PD1_late,rules,123,22,0.6718,0.1207,0.1276,0.0731,0.0068
treatment_anti_PD1_late,anti_PD1_late,rules,123,23,0.6832,0.0903,0.1204,0.0956,0.0106
treatment_anti_PD1_late,anti_PD1_late,rules,123,24,0.6947,0.0731,0.1152,0.1005,0.0165
treatment_anti_PD1_late,anti_PD1_late,rules,123,25,0.7065,0.0617,0.1271,0.0729,0.0318
treatment_anti_PD1_late,anti_PD1_late,rules,123,26,0.7432,0.0386,0.1371,0.0676,0.0135
treatment_anti_PD1_late,anti_PD1_late,rules,123,27,0.7625,0.008,0.1657,0.0399,0.024
treatment_anti_PD1_late,anti_PD1_late,rules,123,28,0.7972,0.0081,0.1237,0.0527,0.0183
treatment_anti_PD1_late,anti_PD1_late,rules,123,29,0.8191,0.0085,0.0872,0.0809,0.0043
treatment_anti_PD1_late,anti_PD1_late,rules,123,30,0.8286,0.0088,0.0637,0.0901,0.0088
treatment_anti_PD1_late,anti_PD1_late,rules,42,1,0.6328,0.1387,0.127,0.0781,0.0234
treatment_anti_PD1_late,anti_PD1_late,rules,42,2,0.6279,0.1546,0.1183,0.0821,0.0172
treatment_anti_PD1_late,anti_PD1_late,rules,42,3,0.6041,0.1689,0.122,0.0769,0.0281
treatment_anti_PD1_late,anti_PD1_late,rules,42,4,0.6058,0.1861,0.1131,0.0785,0.0164
treatment_anti_PD1_late,anti_PD1_late,rules,42,5,0.5817,0.2136,0.1131,0.079,0.0126
treatment_anti_PD1_late,anti_PD1_late,rules,42,6,0.5762,0.2163,0.1135,0.0727,0.0213
treatment_anti_PD1_late,anti_PD1_late,rules,42,7,0.5729,0.2257,0.1094,0.0694,0.0226
treatment_anti_PD1_late,anti_PD1_late,rules,42,8,0.562,0.2496,0.1053,0.0645,0.0187
treatment_anti_PD1_late,anti_PD1_late,rules,42,9,0.56,0.2417,0.1083,0.0767,0.0133
treatment_anti_PD1_late,anti_PD1_late,rules,42,10,0.5378,0.2385,0.1349,0.074,0.0148
treatment_anti_PD1_late,anti_PD1_late,rules,42,11,0.5429,0.2188,0.1507,0.0681,0.0194
treatment_anti_PD1_late,anti_PD1_late,rules,42,12,0.5494,0.1943,0.1736,0.0685,0.0143
treatment_anti_PD1_late,anti_PD1_late,rules,42,13,0.5394,0.2003,0.1751,0.0599,0.0252
treatment_anti_PD1_late,anti_PD1_late,rules,42,14,0.5604,0.1827,0.1858,0.0588,0.0124
treatment_anti_PD1_late,anti_PD1_late,rules,42,15,0.558,0.1708,0.1834,0.0737,0.0141
treatment_anti_PD1_late,anti_PD1_late,rules,42,16,0.5576,0.162,0.1729,0.0919,0.0156
treatment_anti_PD1_late,anti_PD1_late,rules,42,17,0.5636,0.1413,0.1727,0.1052,0.0173
treatment_anti_PD1_late,anti_PD1_late,rules,42,18,0.5667,0.146,0.1524,0.1222,0.0127
treatment_anti_PD1_late,anti_PD1_late,rules,42,19,0.5631,0.1553,0.1505,0.1052,0.0259
treatment_anti_PD1_late,anti_PD1_late,rules,42,20,0.5852,0.1492,0.1426,0.0984,0.0246
treatment_anti_PD1_late,anti_PD1_late,rules,42,21,0.6298,0.134,0.1189,0.0921,0.0251
treatment_anti_PD1_late,anti_PD1_late,rules,42,22,0.6656,0.1054,0.1204,0.0786,0.0301
treatment_anti_PD1_late,anti_PD1_late,rules,42,23,0.7002,0.0886,0.1073,0.0937,0.0102
treatment_anti_PD1_late,anti_PD1_late,rules,42,24,0.715,0.069,0.1168,0.0814,0.0177
treatment_anti_PD1_late,anti_PD1_late,rules,42,25,0.7314,0.0508,0.1234,0.069,0.0254
treatment_anti_PD1_late,anti_PD1_late,rules,42,26,0.7605,0.0247,0.1274,0.0684,0.019
treatment_anti_PD1_late,anti_PD1_late,rules,42,27,0.7718,0.006,0.1329,0.0575,0.0317
treatment_anti_PD1_late,anti_PD1_late,rules,42,28,0.8052,0.006,0.1084,0.0763,0.004
treatment_anti_PD1_late,anti_PD1_late,rules,42,29,0.8046,0.0126,0.0945,0.0756,0.0126
treatment_anti_PD1_late,anti_PD1_late,rules,42,30,0.8194,0.0129,0.0688,0.0817,0.0172
treatment_anti_PD1_late,anti_PD1_late,rules,456,1,0.6275,0.1431,0.1275,0.0843,0.0176
treatment_anti_PD1_late,anti_PD1_late,rules,456,2,0.6166,0.1407,0.1252,0.0983,0.0193
treatment_anti_PD1_late,anti_PD1_late,rules,456,3,0.6181,0.1474,0.1267,0.0832,0.0246
treatment_anti_PD1_late,anti_PD1_late,rules,456,4,0.6089,0.1753,0.1015,0.0959,0.0185
treatment_anti_PD1_late,anti_PD1_late,rules,456,5,0.5906,0.2065,0.0978,0.087,0.0181
treatment_anti_PD1_late,anti_PD1_late,rules,456,6,0.5765,0.226,0.1014,0.0641,0.032
treatment_anti_PD1_late,anti_PD1_late,rules,456,7,0.5879,0.2293,0.1017,0.0707,0.0103
treatment_anti_PD1_late,anti_PD1_late,rules,456,8,0.5495,0.256,0.0939,0.07,0.0307
treatment_anti_PD1_late,anti_PD1_late,rules,456,9,0.5662,0.245,0.1076,0.0712,0.0099
treatment_anti_PD1_late,anti_PD1_late,rules,456,10,0.5426,0.259,0.118,0.0705,0.0098
treatment_anti_PD1_late,anti_PD1_late,rules,456,11,0.5325,0.2435,0.1461,0.0601,0.0179
treatment_anti_PD1_late,anti_PD1_late,rules,456,12,0.5408,0.2192,0.1664,0.0448,0.0288
treatment_anti_PD1_late,anti_PD1_late,rules,456,13,0.5516,0.2109,0.1734,0.0516,0.0125
treatment_anti_PD1_late,anti_PD1_late,rules,456,14,0.5326,0.2189,0.1755,0.0637,0.0093
treatment_anti_PD1_late,anti_PD1_late,rules,456,15,0.5341,0.1886,0.187,0.0824,0.0079
treatment_anti_PD1_late,anti_PD1_late,rules,456,16,0.5375,0.177,0.185,0.0861,0.0144
treatment_anti_PD1_late,anti_PD1_late,rules,456,17,0.555,0.1483,0.1834,0.0925,0.0207
treatment_anti_PD1_late,anti_PD1_late,rules,456,18,0.5714,0.1397,0.1635,0.1032,0.0222
treatment_anti_PD1_late,anti_PD1_late,rules,456,19,0.5748,0.1576,0.1529,0.0955,0.0191
treatment_anti_PD1_late,anti_PD1_late,rules,456,20,0.576,0.1536,0.152,0.1056,0.0128
treatment_anti_PD1_late,anti_PD1_late,rules,456,21,0.603,0.117,0.1483,0.1087,0.0231
treatment_anti_PD1_late,anti_PD1_late,rules,456,22,0.6364,0.1027,0.1481,0.0808,0.032
treatment_anti_PD1_late,anti_PD1_late,rules,456,23,0.6825,0.0951,0.1171,0.0866,0.0187
treatment_anti_PD1_late,anti_PD1_late,rules,456,24,0.708,0.0892,0.1101,0.0734,0.0192
treatment_anti_PD1_late,anti_PD1_late,rules,456,25,0.7261,0.0739,0.1171,0.0595,0.0234
treatment_anti_PD1_late,anti_PD1_late,rules,456,26,0.7523,0.0391,0.1229,0.0745,0.0112
treatment_anti_PD1_late,anti_PD1_late,rules,456,27,0.7593,0.0098,0.1233,0.0802,0.0274
treatment_anti_PD1_late,anti_PD1_late,rules,456,28,0.7917,0.0119,0.1071,0.0813,0.0079
treatment_anti_PD1_late,anti_PD1_late,rules,456,29,0.7983,0.0125,0.0956,0.0852,0.0083
treatment_anti_PD1_late,anti_PD1_late,rules,456,30,0.7996,0.0153,0.0915,0.0654,0.0283
