condition,mode,seed,step,IFN_gamma,PD_L1,TGF_beta
baseline,none,42,13,0.0,0.017259,0.129422
baseline,none,42,14,0.0,0.01793,0.147461
baseline,none,42,15,0.0,0.018621,0.165032
baseline,none,42,16,0.0,0.019161,0.182022
baseline,none,42,17,0.0,0.019648,0.198028
baseline,none,42,18,0.0,0.020092,0.212828
baseline,none,42,19,0.0,0.020413,0.22637
baseline,none,42,20,0.0,0.020613,0.238453
baseline,none,42,21,0.0,0.020647,0.24852
baseline,none,42,22,0.0,0.020613,0.256731
baseline,none,42,23,0.0,0.020529,0.26436
baseline,none,42,24,0.0,0.020455,0.270854
baseline,none,42,25,0.0,0.020172,0.276228
baseline,none,42,26,0.0,0.019729,0.279823
baseline,none,42,27,0.0,0.019085,0.281255
baseline,none,42,28,0.0,0.018186,0.280697
baseline,none,42,29,0.0,0.017392,0.279059
baseline,none,42,30,0.0,0.016353,0.276127
baseline,none,456,1,0.0,0.002447,0.005496
baseline,none,456,2,0.0,0.004528,0.010553
baseline,none,456,3,0.0,0.006307,0.015205
baseline,none,456,4,0.0,0.007834,0.019485
baseline,none,456,5,0.0,0.009227,0.023423
baseline,none,456,6,0.0,0.010457,0.02757
baseline,none,456,7,0.0,0.011561,0.032736
baseline,none,456,8,0.0,0.012653,0.041763
baseline,none,456,9,0.0,0.013603,0.055694
baseline,none,456,10,0.0,0.014597,0.07286
baseline,none,456,11,0.0,0.01546,0.092327
baseline,none,456,12,0.0,0.016234,0.111437
baseline,none,456,13,0.0,0.016949,0.129769
baseline,none,456,14,0.0,0.017721,0.147909
baseline,none,456,15,0.0,0.018376,0.165872
baseline,none,456,16,0.0,0.018885,0.182474
baseline,none,456,17,0.0,0.019247,0.197747
baseline,none,456,18,0.0,0.019577,0.211799
baseline,none,456,19,0.0,0.01987,0.224651
baseline,none,456,20,0.0,0.020023,0.235951
baseline,none,456,21,0.0,0.020132,0.246421
baseline,none,456,22,0.0,0.020043,0.255229
baseline,none,456,23,0.0,0.019744,0.261832
baseline,none,456,24,0.0,0.019523,0.267457
baseline,none,456,25,0.0,0.019223,0.272331
baseline,none,456,26,0.0,0.018765,0.275166
baseline,none,456,27,0.0,0.018211,0.276424
baseline,none,456,28,0.0,0.01747,0.277282
baseline,none,456,29,0.0,0.016778,0.275671
baseline,none,456,30,0.0,0.015926,0.273288
baseline,none,789,1,0.0,0.002491,0.005504
baseline,none,789,2,0.0,0.004594,0.010568
baseline,none,789,3,0.0,0.006412,0.015227
baseline,none,789,4,0.0,0.007976,0.019512
baseline,none,789,5,0.0,0.009318,0.023456
baseline,none,789,6,0.0,0.010505,0.027083
baseline,none,789,7,0.0,0.011562,0.030796
baseline,none,789,8,0.0,0.01259,0.039611
baseline,none,789,9,0.0,0.01359,0.052671
baseline,none,789,10,0.0,0.014509,0.069487
