cancer,step,mean_tumor_ratio,sd_tumor_ratio,n
Ovarian,17,0.9114,0.0431,3
Ovarian,18,0.8288,0.0343,3
Ovarian,19,0.7698,0.0576,3
Ovarian,20,0.7057,0.0602,3
Ovarian,21,0.6364,0.0779,3
Ovarian,22,0.5567,0.0793,3
Ovarian,23,0.4028,0.0775,3
Ovarian,24,0.3153,0.0823,3
Ovarian,25,0.2847,0.0771,3
Ovarian,26,0.2745,0.0765,3
Ovarian,27,0.2389,0.0771,3
Ovarian,28,0.1981,0.0648,3
Ovarian,29,0.1859,0.0754,3
Ovarian,30,0.1829,0.0811,3
