group,pair,mode,seed,step,tumor_count,alive,cd8_pct
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,16,193,490,0.2449
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,17,194,490,0.2449
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,18,196,491,0.2444
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,19,192,487,0.2464
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,20,196,490,0.2449
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,21,189,483,0.2484
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,22,185,479,0.2505
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,23,174,468,0.2564
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,24,171,464,0.2586
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,25,168,461,0.2603
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,26,154,447,0.2685
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,27,146,438,0.274
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,28,130,422,0.2844
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,29,130,422,0.2844
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,123,30,115,407,0.2948
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,1,193,493,0.2434
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,2,192,492,0.2439
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,3,193,493,0.2434
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,4,200,500,0.24
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,5,201,501,0.2395
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,6,195,495,0.2424
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,7,193,493,0.2434
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,8,199,498,0.241
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,9,198,496,0.2419
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,10,200,498,0.241
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,11,200,498,0.241
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,12,203,501,0.2395
PD1_KO,PD1_KO_vs_anti_PD1,deepseek,42,13,207,505,0.2376
