condition,mode,seed,step,tumor_count,cd8_count,total
IFNG_KO,deepseek,456,16,320,120,616
IFNG_KO,deepseek,456,17,326,120,622
IFNG_KO,deepseek,456,18,332,120,627
IFNG_KO,deepseek,456,19,339,120,634
IFNG_KO,deepseek,456,20,324,120,619
IFNG_KO,deepseek,456,21,328,120,623
IFNG_KO,deepseek,456,22,331,120,626
IFNG_KO,deepseek,456,23,321,120,616
IFNG_KO,deepseek,456,24,334,123,632
IFNG_KO,deepseek,456,25,318,123,616
IFNG_KO,deepseek,456,26,312,123,610
IFNG_KO,deepseek,456,27,302,123,600
IFNG_KO,deepseek,456,28,277,123,575
IFNG_KO,deepseek,456,29,268,123,566
IFNG_KO,deepseek,456,30,241,123,539
IFNG_KO,rules,42,1,212,120,512
IFNG_KO,rules,42,2,224,120,524
IFNG_KO,rules,42,3,233,120,533
IFNG_KO,rules,42,4,248,120,548
IFNG_KO,rules,42,5,257,120,557
IFNG_KO,rules,42,6,264,120,564
IFNG_KO,rules,42,7,276,120,576
IFNG_KO,rules,42,8,289,120,589
IFNG_KO,rules,42,9,300,120,600
IFNG_KO,rules,42,10,308,120,608
IFNG_KO,rules,42,11,317,120,617
IFNG_KO,rules,42,12,328,120,628
IFNG_KO,rules,42,13,334,120,634
IFNG_KO,rules,42,14,346,120,646
IFNG_KO,rules,42,15,345,120,645
IFNG_KO,rules,42,16,349,120,649
IFNG_KO,rules,42,17,352,120,652
IFNG_KO,rules,42,18,349,120,649
IFNG_KO,rules,42,19,343,120,643
IFNG_KO,rules,42,20,333,120,633
IFNG_KO,rules,42,21,326,120,626
IFNG_KO,rules,42,22,322,120,622
IFNG_KO,rules,42,23,320,120,620
IFNG_KO,rules,42,24,302,120,602
IFNG_KO,rules,42,25,286,120,586
IFNG_KO,rules,42,26,266,120,566
IFNG_KO,rules,42,27,239,120,539
IFNG_KO,rules,42,28,232,120,532
IFNG_KO,rules,42,29,201,120,501
IFNG_KO,rules,42,30,184,120,484
IFNG_KO,rules,123,1,211,120,511
IFNG_KO,rules,123,2,218,120,518
IFNG_KO,rules,123,3,231,120,531
IFNG_KO,rules,123,4,238,120,538
IFNG_KO,rules,123,5,252,120,552
IFNG_KO,rules,123,6,262,120,562
IFNG_KO,rules,123,7,274,120,574
IFNG_KO,rules,123,8,283,120,583
IFNG_KO,rules,123,9,297,120,597
IFNG_KO,rules,123,10,309,120,609
IFNG_KO,rules,123,11,314,120,614
IFNG_KO,rules,123,12,319,120,619
IFNG_KO,rules,123,13,322,120,622
IFNG_KO,rules,123,14,330,120,630
IFNG_KO,rules,123,15,332,120,632
IFNG_KO,rules,123,16,334,120,634
IFNG_KO,rules,123,17,329,120,629
IFNG_KO,rules,123,18,330,120,630
IFNG_KO,rules,123,19,329,120,629
IFNG_KO,rules,123,20,332,120,632
IFNG_KO,rules,123,21,328,120,628
IFNG_KO,rules,123,22,308,120,608
IFNG_KO,rules,123,23,290,120,590
IFNG_KO,rules,123,24,273,120,573
IFNG_KO,rules,123,25,252,120,552
IFNG_KO,rules,123,26,233,120,533
IFNG_KO,rules,123,27,217,120,517
IFNG_KO,rules,123,28,209,120,509
IFNG_KO,rules,123,29,192,120,492
IFNG_KO,rules,123,30,173,120,473
IFNG_KO,rules,456,1,210,120,510
IFNG_KO,rules,456,2,219,120,519
IFNG_KO,rules,456,3,229,120,529
IFNG_KO,rules,456,4,242,120,542
IFNG_KO,rules,456,5,252,120,552
IFNG_KO,rules,456,6,262,120,562
IFNG_KO,rules,456,7,280,120,580
IFNG_KO,rules,456,8,286,120,586
IFNG_KO,rules,456,9,304,120,604
IFNG_KO,rules,456,10,310,120,610
IFNG_KO,rules,456,11,316,120,616
IFNG_KO,rules,456,12,325,120,625
IFNG_KO,rules,456,13,340,120,640
IFNG_KO,rules,456,14,344,120,644
IFNG_KO,rules,456,15,341,120,641
