experiment,condition,mode,seed,step,oxygen,glucose,IFN_gamma,IL2,PD_L1,TGF_beta
baseline,baseline,none,42,21,0.032605,1.887702,0.159059,0.008498,0.055574,0.376565
baseline,baseline,none,42,22,0.030818,1.810224,0.143153,0.008047,0.049502,0.373825
baseline,baseline,none,42,23,0.0291,1.734925,0.128838,0.007619,0.04475,0.37153
baseline,baseline,none,42,24,0.027476,1.662979,0.115954,0.007215,0.040669,0.369343
baseline,baseline,none,42,25,0.025888,1.593489,0.182609,0.013083,0.052394,0.425081
baseline,baseline,none,42,26,0.024407,1.526825,0.176473,0.012335,0.046546,0.416485
baseline,baseline,none,42,27,0.022979,1.462579,0.158826,0.011628,0.041736,0.407753
baseline,baseline,none,42,28,0.021647,1.401738,0.142943,0.01096,0.037536,0.398293
baseline,baseline,none,42,29,0.020393,1.345223,0.128649,0.010329,0.03364,0.389066
baseline,baseline,none,42,30,0.019111,1.286489,0.229034,0.014607,0.041292,0.446526
baseline,baseline,none,456,1,0.082785,4.083627,0.0,0.0,0.002447,0.005496
baseline,baseline,none,456,2,0.08016,3.974476,0.0,0.0,0.004528,0.010553
baseline,baseline,none,456,3,0.077527,3.863763,0.0,0.0,0.006307,0.015205
baseline,baseline,none,456,4,0.074878,3.751254,0.0,0.0,0.007834,0.019485
baseline,baseline,none,456,5,0.072199,3.636213,0.00875,0.00275,0.065227,0.069673
baseline,baseline,none,456,6,0.06956,3.52218,0.008875,0.0026,0.055713,0.07042
baseline,baseline,none,456,7,0.066906,3.40644,0.007987,0.002458,0.048256,0.073133
baseline,baseline,none,456,8,0.064202,3.287252,0.007189,0.002324,0.042533,0.079229
baseline,baseline,none,456,9,0.061509,3.167637,0.00647,0.002197,0.038033,0.090012
baseline,baseline,none,456,10,0.058768,3.044929,0.069573,0.006827,0.10983,0.158632
baseline,baseline,none,456,11,0.056115,2.925603,0.070116,0.006468,0.092522,0.170263
baseline,baseline,none,456,12,0.053467,2.805631,0.063329,0.006128,0.078784,0.181788
baseline,baseline,none,456,13,0.0508,2.684663,0.057221,0.005806,0.067966,0.193592
baseline,baseline,none,456,14,0.048103,2.564431,0.051649,0.005501,0.059564,0.204976
baseline,baseline,none,456,15,0.045443,2.44746,0.127182,0.008087,0.087327,0.273924
baseline,baseline,none,456,16,0.042972,2.340492,0.124713,0.007613,0.075151,0.279919
baseline,baseline,none,456,17,0.040634,2.240384,0.112317,0.007164,0.065473,0.285544
baseline,baseline,none,456,18,0.038435,2.145094,0.10116,0.006738,0.057788,0.290802
baseline,baseline,none,456,19,0.036341,2.05353,0.091044,0.006335,0.051766,0.295565
baseline,baseline,none,456,20,0.034375,1.967551,0.179515,0.009999,0.074455,0.361696
baseline,baseline,none,456,21,0.03248,1.884199,0.173688,0.009457,0.065036,0.360407
baseline,baseline,none,456,22,0.030682,1.804431,0.15632,0.008945,0.057537,0.359596
baseline,baseline,none,456,23,0.029013,1.731271,0.140688,0.00846,0.051484,0.358025
baseline,baseline,none,456,24,0.027363,1.658869,0.126619,0.008003,0.046448,0.356804
baseline,baseline,none,456,25,0.025737,1.586882,0.186707,0.010945,0.064364,0.417406
baseline,baseline,none,456,26,0.024176,1.517234,0.178911,0.01036,0.056593,0.410491
baseline,baseline,none,456,27,0.022679,1.44908,0.16102,0.009807,0.050541,0.403829
baseline,baseline,none,456,28,0.021189,1.381068,0.144918,0.009283,0.045478,0.397625
baseline,baseline,none,456,29,0.019807,1.318813,0.130426,0.008788,0.040912,0.391018
baseline,baseline,none,456,30,0.018435,1.255791,0.210584,0.011945,0.068566,0.440839
baseline,baseline,none,789,1,0.082785,4.083627,0.0,0.0,0.002491,0.005504
baseline,baseline,none,789,2,0.080167,3.9749,0.0,0.0,0.004594,0.010568
baseline,baseline,none,789,3,0.077537,3.864401,0.0,0.0,0.006412,0.015227
baseline,baseline,none,789,4,0.074901,3.75262,0.0,0.0,0.007976,0.019512
baseline,baseline,none,789,5,0.072264,3.639949,0.00875,0.00225,0.066068,0.073531
baseline,baseline,none,789,6,0.069682,3.529026,0.008875,0.002138,0.056373,0.073452
baseline,baseline,none,789,7,0.067084,3.416375,0.007987,0.00203,0.04874,0.073905
baseline,baseline,none,789,8,0.064453,3.301217,0.007189,0.001929,0.042839,0.078897
baseline,baseline,none,789,9,0.061786,3.183321,0.00647,0.001832,0.038339,0.089639
baseline,baseline,none,789,10,0.059112,3.064183,0.059823,0.004865,0.129738,0.163122
baseline,baseline,none,789,11,0.056455,2.945049,0.059591,0.004602,0.108674,0.173126
baseline,baseline,none,789,12,0.05378,2.824675,0.053857,0.004354,0.091995,0.18368
baseline,baseline,none,789,13,0.051112,2.703569,0.048696,0.00412,0.078749,0.19489
baseline,baseline,none,789,14,0.048437,2.581816,0.043976,0.003898,0.06832,0.205728
baseline,baseline,none,789,15,0.045781,2.461978,0.111069,0.008314,0.106531,0.274174
baseline,baseline,none,789,16,0.043261,2.350187,0.108212,0.00788,0.090702,0.279182
baseline,baseline,none,789,17,0.040802,2.242903,0.097391,0.007468,0.078071,0.284089
baseline,baseline,none,789,18,0.038395,2.137738,0.087652,0.007079,0.068247,0.288753
baseline,baseline,none,789,19,0.036123,2.037377,0.078886,0.006709,0.060485,0.294095
baseline,baseline,none,789,20,0.033995,1.942589,0.175123,0.010235,0.088039,0.360209
baseline,baseline,none,789,21,0.032084,1.858943,0.169985,0.0097,0.07624,0.359248
baseline,baseline,none,789,22,0.030296,1.780919,0.153137,0.009193,0.066864,0.358639
baseline,baseline,none,789,23,0.028633,1.707384,0.137973,0.008713,0.058996,0.357104
baseline,baseline,none,789,24,0.027042,1.637372,0.124251,0.008258,0.052433,0.354942
baseline,baseline,none,789,25,0.025531,1.571529,0.189076,0.011203,0.061375,0.419628
baseline,baseline,none,789,26,0.024127,1.508592,0.181793,0.010619,0.053755,0.410254
baseline,baseline,none,789,27,0.022757,1.44621,0.163614,0.010066,0.04754,0.401181
baseline,baseline,none,789,28,0.021394,1.385402,0.147503,0.009541,0.042399,0.391858
baseline,baseline,none,789,29,0.020117,1.328026,0.132752,0.009045,0.037903,0.382382
baseline,baseline,none,789,30,0.018841,1.269951,0.221052,0.01295,0.05187,0.438313
baseline_rules,baseline,none,1024,1,0.082785,4.083627,0.0,0.0,0.002509,0.00546
baseline_rules,baseline,none,1024,2,0.080176,3.975513,0.0,0.0,0.004595,0.010483
baseline_rules,baseline,none,1024,3,0.077557,3.865561,0.0,0.0,0.0064,0.015104
baseline_rules,baseline,none,1024,4,0.074932,3.75431,0.0,0.0,0.007951,0.019356
baseline_rules,baseline,none,1024,5,0.072296,3.641522,0.0,0.0,0.009302,0.023267
baseline_rules,baseline,none,1024,6,0.069635,3.526478,0.0,0.0,0.010516,0.027765
baseline_rules,baseline,none,1024,7,0.066938,3.408706,0.0,0.0,0.011671,0.032954
baseline_rules,baseline,none,1024,8,0.06424,3.289961,0.0,0.0,0.012684,0.040277
baseline_rules,baseline,none,1024,9,0.061536,3.169989,0.0,0.0,0.013594,0.053915
baseline_rules,baseline,none,1024,10,0.058791,3.047042,0.0,0.0,0.014507,0.070812
baseline_rules,baseline,none,1024,11,0.056011,2.92141,0.0,0.0,0.015401,0.089807
baseline_rules,baseline,none,1024,12,0.053236,2.79535,0.0,0.0,0.01619,0.109382
baseline_rules,baseline,none,1024,13,0.050442,2.668256,0.0,0.0,0.016961,0.127991
baseline_rules,baseline,none,1024,14,0.047644,2.540293,0.0,0.0,0.017666,0.145862
baseline_rules,baseline,none,1024,15,0.044879,2.4147,0.0,0.0,0.018237,0.163053
baseline_rules,baseline,none,1024,16,0.042147,2.29179,0.0,0.0,0.018756,0.178943
baseline_rules,baseline,none,1024,17,0.039476,2.172948,0.0,0.0,0.01928,0.194013
baseline_rules,baseline,none,1024,18,0.036938,2.061629,0.0,0.0,0.019787,0.208776
baseline_rules,baseline,none,1024,19,0.034528,1.956009,0.0,0.0,0.020231,0.222509
baseline_rules,baseline,none,1024,20,0.032312,1.856946,0.0,0.0,0.020608,0.235293
baseline_rules,baseline,none,1024,21,0.030221,1.764594,0.0,0.0,0.020777,0.24653
baseline_rules,baseline,none,1024,22,0.028227,1.677425,0.0,0.0,0.020844,0.256342
