mode,seed,step,js_divergence
random,123,2,0.1421
random,123,3,0.1421
random,123,4,0.1418
random,123,5,0.1407
random,123,6,0.1387
random,123,7,0.1351
random,123,8,0.1322
random,123,9,0.1325
random,123,10,0.1349
random,123,11,0.1387
random,123,12,0.1463
random,123,13,0.1503
random,123,14,0.1552
random,123,15,0.1693
random,123,16,0.1800
random,123,17,0.2025
random,123,18,0.1943
random,123,19,0.1884
random,123,20,0.1862
random,123,21,0.1932
random,123,22,0.2009
random,123,23,0.2023
random,123,24,0.2132
random,123,25,0.2279
random,123,26,0.2396
random,123,27,0.2491
random,123,28,0.2640
random,123,29,0.2647
random,456,0,0.1421
random,456,1,0.1421
random,456,2,0.1420
random,456,3,0.1410
random,456,4,0.1388
random,456,5,0.1363
random,456,6,0.1336
random,456,7,0.1328
random,456,8,0.1364
random,456,9,0.1394
random,456,10,0.1436
random,456,11,0.1515
random,456,12,0.1648
random,456,13,0.1731
random,456,14,0.1971
random,456,15,0.2143
random,456,16,0.2389
random,456,17,0.2546
random,456,18,0.2598
random,456,19,0.2458
random,456,20,0.2353
random,456,21,0.2308
random,456,22,0.2378
random,456,23,0.2430
random,456,24,0.2441
random,456,25,0.2572
random,456,26,0.2588
random,456,27,0.2679
random,456,28,0.2671
random,456,29,0.2776
random,789,0,0.1421
random,789,1,0.1420
random,789,2,0.1414
random,789,3,0.1410
random,789,4,0.1393
random,789,5,0.1375
random,789,6,0.1334
random,789,7,0.1317
random,789,8,0.1312
random,789,9,0.1320
random,789,10,0.1330
random,789,11,0.1359
random,789,12,0.1390
random,789,13,0.1488
random,789,14,0.1535
random,789,15,0.1611
random,789,16,0.1657
random,789,17,0.1695
random,789,18,0.1568
random,789,19,0.1451
random,789,20,0.1537
random,789,21,0.1557
random,789,22,0.1547
random,789,23,0.1647
random,789,24,0.1705
random,789,25,0.1829
random,789,26,0.1881
random,789,27,0.2005
random,789,28,0.2163
random,789,29,0.2317
random,1024,0,0.1426
random,1024,1,0.1426
random,1024,2,0.1436
random,1024,3,0.1428
random,1024,4,0.1411
random,1024,5,0.1388
random,1024,6,0.1367
random,1024,7,0.1342
random,1024,8,0.1320
random,1024,9,0.1314
random,1024,10,0.1346
random,1024,11,0.1444
random,1024,12,0.1552
random,1024,13,0.1722
random,1024,14,0.1739
random,1024,15,0.1799
random,1024,16,0.1993
random,1024,17,0.2057
random,1024,18,0.1892
random,1024,19,0.1681
random,1024,20,0.1765
random,1024,21,0.1809
random,1024,22,0.1989
random,1024,23,0.2071
random,1024,24,0.2144
random,1024,25,0.2211
random,1024,26,0.2350
random,1024,27,0.2538
random,1024,28,0.2526
random,1024,29,0.2616
